ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_NR_AGEN;ENT_NR_CTRTER;ENT_NR_PL;ENT_DT_PL;ENT_ST_PL;ENT_DT_LBNDES;ENT_VL_SOLIC;ENT_VL_LIBER;ENT_ID_TIPIOF;ENT_VL_IOF;ENT_ID_CONCES;ENT_VL_CONCES;ENT_ID_OUTVLR;ENT_VL_OUTVLR;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20260215;1;1414;19;1040568;1;20240730;5;20240730;10039.91;10352.22;F;312.31;F;0;F;0;;;
20260215;1;1414;19;1040592;1;20240730;5;20240730;35954.77;36199.75;F;244.98;F;0;F;0;;;
20260215;1;1414;19;1040627;1;20240731;5;20240731;6000;6189.76;F;189.76;F;0;F;0;;;
20260215;1;1414;19;1040653;1;20240801;5;20240801;4986.38;5003.07;F;16.69;F;0;F;0;;;
20260215;1;1414;19;1040654;1;20240802;5;20240802;14613.27;14642.91;F;29.64;F;0;F;0;;;
20260215;1;1414;19;1040670;1;20240731;5;20240731;10000;10314.58;F;314.58;F;0;F;0;;;
20260215;1;1414;19;1040750;1;20240801;5;20240801;38077.71;38721.67;F;643.96;F;0;F;0;;;
20260215;1;1414;19;1040777;1;20240801;5;20240801;1355.53;1398.08;F;42.55;F;0;F;0;;;
20260215;1;1414;19;1040788;1;20240801;5;20240801;2575.63;2645.25;F;69.62;F;0;F;0;;;
20260215;1;1414;19;1040789;1;20240801;5;20240801;4710.91;4859.01;F;148.1;F;0;F;0;;;
20260215;1;1414;19;1040817;1;20240805;5;20240805;4312;4330.58;F;18.58;F;0;F;0;;;
20260215;1;1414;19;1040820;1;20240809;5;20240809;3256.99;3268.25;F;11.26;F;0;F;0;;;
20260215;1;1414;19;1040821;1;20240802;5;20240802;1603.65;1654.04;F;50.39;F;0;F;0;;;
20260215;1;1414;19;1040824;1;20240802;5;20240802;2612.19;2694.27;F;82.08;F;0;F;0;;;
20260215;1;1414;19;1040838;1;20240801;5;20240801;1714.74;1768.65;F;53.91;F;0;F;0;;;
20260215;1;1414;19;1040846;1;20240802;5;20240802;4006.69;4133.26;F;126.57;F;0;F;0;;;
20260215;1;1414;19;1040849;1;20240814;5;20240814;3153.64;3178.31;F;24.67;F;0;F;0;;;
20260215;1;1414;19;1040888;1;20240802;5;20240802;7850.11;7877.56;F;27.45;F;0;F;0;;;
20260215;1;1414;19;1040896;1;20240802;5;20240802;3554.16;3668.53;F;114.37;F;0;F;0;;;
20260215;1;1414;19;1040897;1;20240802;5;20240802;6605.83;6658.4;F;52.57;F;0;F;0;;;
20260215;1;1414;19;1040899;1;20240806;5;20240806;2914.68;2924.81;F;10.13;F;0;F;0;;;
20260215;1;1414;19;1040907;1;20240802;5;20240802;4205.43;4337.29;F;131.86;F;0;F;0;;;
20260215;1;1414;19;1040915;1;20240807;5;20240807;7897.22;7926.91;F;29.69;F;0;F;0;;;
20260215;1;1414;19;1040916;1;20240802;5;20240802;17034.08;17081.48;F;47.4;F;0;F;0;;;
20260215;1;1414;19;1040929;1;20240802;5;20240802;3763.64;3884.78;F;121.14;F;0;F;0;;;
20260215;1;1414;19;1040960;1;20240807;5;20240807;9133.82;9425.53;F;291.71;F;0;F;0;;;
20260215;1;1414;19;1040963;1;20240802;5;20240802;8576.52;8846.23;F;269.71;F;0;F;0;;;
20260215;1;1414;19;1040986;1;20240805;5;20240805;1593.92;1643.94;F;50.02;F;0;F;0;;;
20260215;1;1414;19;1041004;1;20240805;5;20240805;11565.71;11613.53;F;47.82;F;0;F;0;;;
20260215;1;1414;19;1041005;1;20240805;5;20240805;30254.24;30291.48;F;37.24;F;0;F;0;;;
20260215;1;1414;19;1041006;1;20240805;5;20240805;8515.75;8526.23;F;10.48;F;0;F;0;;;
20260215;1;1414;19;1041034;1;20240807;5;20240807;13636.86;14074.45;F;437.59;F;0;F;0;;;
20260215;1;1414;19;1041037;1;20240805;5;20240805;2084.68;2151.65;F;66.97;F;0;F;0;;;
20260215;1;1414;19;1041045;1;20240809;5;20240809;3015.41;3112.07;F;96.66;F;0;F;0;;;
20260215;1;1414;19;1041046;1;20240806;5;20240806;2750.78;2839.1;F;88.32;F;0;F;0;;;
20260215;1;1414;19;1041063;1;20240807;5;20240807;3000;3096.29;F;96.29;F;0;F;0;;;
20260215;1;1414;19;1041072;1;20240806;5;20240806;1675.24;1728.03;F;52.79;F;0;F;0;;;
20260215;1;1414;19;1041076;1;20240807;5;20240807;5307.09;5476.65;F;169.56;F;0;F;0;;;
20260215;1;1414;19;1041092;1;20240813;5;20240813;22127.94;22144.75;F;16.81;F;0;F;0;;;
20260215;1;1414;19;1041109;1;20240807;5;20240807;930.78;960.09;F;29.31;F;0;F;0;;;
20260215;1;1414;19;1041136;1;20240806;5;20240806;18682.53;19268.49;F;585.96;F;0;F;0;;;
20260215;1;1414;19;1041138;1;20240806;5;20240806;7295.71;7529.98;F;234.27;F;0;F;0;;;
20260215;1;1414;19;1041143;1;20240807;5;20240807;5970.03;6161.63;F;191.6;F;0;F;0;;;
20260215;1;1414;19;1041146;1;20240806;5;20240806;7404.9;7412.55;F;7.65;F;0;F;0;;;
20260215;1;1414;19;1041147;1;20240806;5;20240806;5632.67;5640.88;F;8.21;F;0;F;0;;;
20260215;1;1414;19;1041148;1;20240806;5;20240806;30523.7;30626.31;F;102.61;F;0;F;0;;;
20260215;1;1414;19;1041150;1;20240806;5;20240806;5459.99;5584.69;F;124.7;F;0;F;0;;;
20260215;1;1414;19;1041176;1;20240807;5;20240807;6816.91;7031.58;F;214.67;F;0;F;0;;;
20260215;1;1414;19;1041198;1;20240807;5;20240807;8699.43;8978.64;F;279.21;F;0;F;0;;;
20260215;1;1414;19;1041199;1;20240807;5;20240807;927.97;957.2;F;29.23;F;0;F;0;;;
20260215;1;1414;19;1041202;1;20240806;5;20240806;8891.43;8945.2;F;53.77;F;0;F;0;;;
20260215;1;1414;19;1041203;1;20240813;5;20240813;4849.41;5004.5;F;155.09;F;0;F;0;;;
20260215;1;1414;19;1041204;1;20240807;5;20240807;4238.61;4375.08;F;136.47;F;0;F;0;;;
20260215;1;1414;19;1041210;1;20240808;5;20240808;2109.33;2176.99;F;67.66;F;0;F;0;;;
20260215;1;1414;19;1041223;1;20240807;5;20240807;8324.57;8335.03;F;10.46;F;0;F;0;;;
20260215;1;1414;19;1041227;1;20240807;5;20240807;3799.35;3825.93;F;26.58;F;0;F;0;;;
20260215;1;1414;19;1041228;1;20240807;5;20240807;7019.45;7093.07;F;73.62;F;0;F;0;;;
20260215;1;1414;19;1041231;1;20240807;5;20240807;11465.21;11524.96;F;59.75;F;0;F;0;;;
20260215;1;1414;19;1041233;1;20240807;5;20240807;2431;2507.56;F;76.56;F;0;F;0;;;
20260215;1;1414;19;1041239;1;20240809;5;20240809;1488.22;1535.64;F;47.42;F;0;F;0;;;
20260215;1;1414;19;1041245;1;20240807;5;20240807;5318.59;5488.27;F;169.68;F;0;F;0;;;
20260215;1;1414;19;1041253;1;20240807;5;20240807;5012.74;5173.62;F;160.88;F;0;F;0;;;
20260215;1;1414;19;1041305;1;20240808;5;20240808;7109.8;7336.5;F;226.7;F;0;F;0;;;
20260215;1;1414;19;1041306;1;20240807;5;20240807;1234.33;1273.95;F;39.62;F;0;F;0;;;
20260215;1;1414;19;1041307;1;20240807;5;20240807;22470.35;23191.58;F;721.23;F;0;F;0;;;
20260215;1;1414;19;1041309;1;20240807;5;20240807;556.38;574.24;F;17.86;F;0;F;0;;;
20260215;1;1414;19;1041358;1;20240808;5;20240808;10067.89;10390.86;F;322.97;F;0;F;0;;;
20260215;1;1414;19;1041364;1;20240808;5;20240808;1729.6;1785.08;F;55.48;F;0;F;0;;;
20260215;1;1414;19;1041411;1;20240819;5;20240819;2882.51;2897.4;F;14.89;F;0;F;0;;;
20260215;1;1414;19;1041419;1;20240809;5;20240809;2257.38;2329.75;F;72.37;F;0;F;0;;;
20260215;1;1414;19;1041431;1;20240812;5;20240812;12641.3;13045.85;F;404.55;F;0;F;0;;;
20260215;1;1414;19;1041451;1;20240809;5;20240809;13830.94;14274.36;F;443.42;F;0;F;0;;;
20260215;1;1414;19;1041468;1;20240812;5;20240812;12915.25;13325.88;F;410.63;F;0;F;0;;;
20260215;1;1414;19;1041469;1;20240812;5;20240812;4602.9;4637.97;F;35.07;F;0;F;0;;;
20260215;1;1414;19;1041470;1;20240812;5;20240812;6093.87;6126.27;F;32.4;F;0;F;0;;;
20260215;1;1414;19;1041471;1;20240809;5;20240809;58752.96;59610.55;F;857.59;F;0;F;0;;;
20260215;1;1414;19;1041480;1;20240808;5;20240808;6939.01;7161.61;F;222.6;F;0;F;0;;;
20260215;1;1414;19;1041485;1;20240808;5;20240808;2884.94;2977.48;F;92.54;F;0;F;0;;;
20260215;1;1414;19;1041504;1;20240809;5;20240809;5684.48;5866.73;F;182.25;F;0;F;0;;;
20260215;1;1414;19;1041506;1;20240809;5;20240809;10024.45;10331.32;F;306.87;F;0;F;0;;;
20260215;1;1414;19;1041512;1;20240812;5;20240812;1602.31;1633.67;F;31.36;F;0;F;0;;;
